,,,,"At Levels 3, 7 and 11 Spellcasters may choose a spell from any Spell List. Arcanist, Bards and Way of the Arcane Monks may choose from any Spell List at all levels. ",,,,,,,,,
Blight,Necromancy,Action,CON Save,18 m,None,None,Deal 1d12(+4) Necrotic Damage to a target creature. If the target is Undead they have Disadvantage on the Saving Throw against this Spell. On save the target still takes half the damage.,"Deal an additional 1d12(+4) Necrotic Damage per level.
",,X,,X,
Blindness,Necromancy,Bonus,CON Save,18 m,Blinded,3 Turns,"Apply a condition to target creature that causes Attack Rolls made against it to have Advantage. Additionally, the creature also attacks with Disadvantage.",Select 1 additional target per level,,X,X,,
Blink,Transmutation,Bonus,Movement,18 m,None,None,Swap places with a creature or object.,No additional benefits,,,X,,X
Blood Broker,Necromancy,Bonus,Heal,3 m,None,None,Sacrifice your own life to resurrect a companion with all of their Hit Points.,Range increases by 3 m per level,X,,,X,
Blur,Illusion,Bonus,Buff,18 m,Blurred,3 Turns,Apply a buff to target creature that causes incoming Attack Rolls to be made with Disadvantage. This spell does not affect creatures that don't rely on sight or that can see through illusions.,Select 1 additional target per level,,,X,,X
Borrowed Knowledge,Divination,Bonus,Buff,18 m,Borrowed Knowledge,3 Turns,Grant target creature a buff that gives Advantage on Skill Checks.,Select 1 additional target per level,X,,,,X
Burning Hands,Evocation,Action,DEX Save,3 m,Prone,1 Turn,Deal 1d12(+4) Fire Damage to all creatures in a 3 m cone in front of you. Affected creature's are pushed away from you by 3 m and forced Prone.,Deal an additional 1d12(+4) Fire Damage per level,,,,X,X
Call Lightning,Conjuration,Action,Concentration                          / DEX Save,18 m,Call Lightning,Until Long Rest,"Deal 1d6(+4) Lightning Damage to all creatures in a chosen 3 m area. Starting from the turn after casting this spell, so long as you remain concentrating on it, you may cast this Spell as a free action once per turn.",Deal an additional 1d6(+4) Lightning Damage  per level,X,,X,,
Calm Emotions,Enchantment,Bonus,Buff,18 m,Calmed,3 Turns,"Apply a condition to target creature that cures any form of confusion, fear, madness, provocation or rage. The creature will remain with this condition for 3 Turns thereafter giving them immunity to these statuses.",Select 1 additional target per level,X,,X,,
Catnap,Enchantment,Action,Debuff,18 m,Sleeping,3 Turns,"Cause all allies, including yourself, within 18 m of you to fall asleep. Once recovered from Sleep you regain all of your consumed class based resources. A creature may only gain the benefits on this Spell once per Long Rest. This Spell may be cast while Silenced or Muted and will not break Stealth.",No additional benefits,,X,X,,
Cause Terror,Necromancy,Action,WIS Save,18 m,Frightened          /Terrified,1 Turn,"Attempt to apply the Terrified condition to a target creature. On a successful Saving Throw, the creature will instead become Frightened.",Select 1 additional target per level,,,X,X,
Chain Lightning,Evocation,Action,Attack Roll,18 m,None,None,"Deal 1d6(+4) Lightning Damage to a target creature, bolts will leap from the target striking additional targets for 1d6(+4) Lightning Damage. This Spell may be cast while Silenced or Muted.",Deal an additional 1d6(+4) Lightning Damage and create additional forking bolts per level,X,,X,,
Charm,Enchantment,Bonus,WIS Save,18 m,Charmed,Until Long Rest,Target a creature and apply the Charmed condition to them. While charmed this creature cannot attack the Spellcaster who placed the charm and the Spellcaster has Advantage on Charisma based Ability Checks when in dialogue with the affected creature.,Select 1 additional target per level,,X,X,,
Chromatic Orb,Evocation,Action,Attack Roll,18 m,None,None,Deal 1d12(+4) Elemental Damage to a target creature. The Spellcaster is able to choose from any Element upon casting.,Deal an additional 1d12(+4) Elemental Damage per level,,,X,,X
Circle of Death,Necromancy,Action,CON Save,18 m,None,None,"Deal 1d6(+4) Necrotic Damage in a 9 m AoE. On a successful Saving Throw, targets still take half the damage.",Deal an additional 1d6(+4) Necrotic Damage per level,X,,,X,
Cloudkill,Conjuration,Action,Concentration                /CON SAVE,18 m,Cloudkill,Until Long Rest,"Creature a 3 m poisonous cloud that deals 1d6 Poison Damage, Heavily Obscures and applies the Poisoned condition to any creature within. The cloud will reset a creatures applied Poison Stacks to one.",Deal an additional 1d6 Poison Damage and create an additional cloud per level.,X,X,,,
Cloud of Daggers,Conjuration,Action,Summon/Cloud,18 m,Cloud of Daggers,3 Turns,Deal 1d12 Slashing Damage to all creatures within the 3 m cloud. A creature cannot receive damage from multiple clouds at once.,Deal an additional 1d12 Slashing Damage and create an additional cloud per level,,,,X,X
Colour Spray,Illusion,Bonus,CON Save,3 m,Blinded,3 Turns,Attempt to apply the Blinded condition to all creatures in a 3 m cone in front of you.,Range increases by 3 m per level,,,X,,X
Command,Enchantment,Action,WIS Save,18 m,Command/Disarm/Prone,1 Turn,"Attempt to command a creature to do as you say. The available choices are Halt, Approach, Drop, Flee and Grovel. In order these commands are able to cause the creature to skip their turn, move closer to the caster and end their turn, disarm themselves, flee from the caster and nothing else or grovel (Prone).",Select 1 additional target per level,X,,,X,
Compelled Duel,Enchantment,Bonus,WIS Save,18 m,Compelled Duel,3 Tuirns,Attempt to apply a condition to a creature that imbues a -5 penalty to their Attack Rolls should they choose to attack someone other than the caster.,Select 1 additional target per level,X,,,X,
Cone of Cold,Evocation,Action,CON Save,9 m,None,None,"Deal 1d6(+4) Cold Damage to all creatures in a 9 m cone in front of you. On a successful Saving Throw, targets still take half the damage.",Deal an additional 1d6(+4) Cold Damage per level,,X,,,X
Confusion,Enchantment,Action,WIS Save,18 m,Confused,3 Turns,Attempt to apply a condition that may cause the affected creature to skip their turn.,Select 1 additional target per level,,,X,X,
Conjure Barrage,Conjuration,Action,Attack Roll,3 m,None,None,Deal your Weapon Damage to all creatures in a 3 m cone in front of you.,Range increases by 3 m per level,,X,,X,
Contagion,Necromancy,Bonus,CON Save,18 m,Festering Rot,6 Turns,Attempt to apply a condition to target creature which cauyses them to have Disadvantage on Constitution based Ability Checks and Saving Throws and make them unable to use their armours Physical Damage Reduction. If this condition is allowed to expire naturally then the affected creature becomes Vulnerable to all damage for 1 Turn.,Decreases the duration of the condition by 1 Turn per level,,X,,X,
Counterspell,Abjuration,Reaction,Counter,18 m,None,None,Counter an enemies Spell or Cantrip causing their Spell or Cantrip to fizzle out. The Spell Slot you expend to cast this Spell must be greater than the Spell Slot spent by the enemy caster. Dangerous and Fatal foes cannot be countered.,Counter higher level spells,,,X,,X
Create or Destroy Water,Transmutation,Bonus,Debuff/Surface,18 m,Wet,3 Turns,Rain down water onto all creatures in a 3 m area. You may also choose to instead destroy any water-based surfaces in a 3 m area.,Area increases by 3 m per level,X,X,,,
Crown of Madness,Enchantment,Action,WIS Save,18 m,Crown of Madness,3 Turns,Attempt to apply a condition to a target creature causing them to be hostile to both allies and enemies alike.,Select 1 additional target per level,,,X,X,
Crusader's Mantle,Evocation,Bonus,Concentration,Self Only,Holy Mantle/ Blasphemous Mantle,Until Long Rest,Apply a buff to yourself that causes you to deal an additional +2 Radiant or Necrotic Damage to any Damage you deal.,Increase the Radiant or Necrotic Damage by +2 per level,X,X,,,
Cure Wounds,Evocation,Action,Heal,Melee,None,None,Heal a target creature by 1d12(+8) Hit Points.,Heal an additional 1d12(+8) Hit Points per level,X,X,,,
Darkness,Evocation,Bonus,Concentration,18 m,Blinded,Whilst on Surface,Create a 3 m cloud of Darkness over a targeted area that Heavily Obscures and Blinds creatures within. Ranged attacks cannot be made into or out of the Darkness.,Area increases by 3 m per level,,X,,X,
Darkvision,Transmutation,Bonus,Buff,18 m,Darkvision,Until Long Rest,"Grant a creature the condition Darkvision allowing them to see in the dark, magical or otherwise, to a range of 18 m.",Select 1 additional target per level,,X,X,,
Daylight,Evocation,Bonus,Light,18 m,Daylight,Until Long Rest,"Summon a sphere of pure sunlight which wards off all darkness, magical or otherwise, within an 18 m radius of itself.",No additional benefits,X,X,,,
Death Ward,Abjuration,Bonus,Buff,18 m,Death Ward,3 Turns,Apply a condition to a allied non-summoned creature that causes them to regain 1 Hit Point when downed. Effects which trigger on killing blows can still trigger if Death Ward is active.,Select 1 additional target per level,X,,,,X
Destructive Wave,Evocation,Action,CON Save,3 m,Prone,1 Turn,Deal 1d12(+4) Thunder Damage in a 3 m area around yourself and potentially knock affected creatures Prone.,Deal an additional 1d12(+4) Thunder Damage per level,,,X,,X
Detect Thoughts,Divination,Bonus,Buff,Self Only,Detect Thoughts,Until Long Rest,Grant yourself the ability to be able to read the thoughts of other creatures. This adds extra dialogue options on conversations.,No additional benefits,,,X,,X
Dimension Door,Conjuration,Action,Movement,3 m,None,None,Teleport yourself and up to 1 other ally within 3 m to a place you can see. The ally cannot be larger than Medium in size.,Range increases by 3 m per level,,,X,,X
Disintegrate,Transmutation,Action,DEX Save,18 m,None,None,"Deal 1d12(+12) Force Damage to a target creature. On a successful Saving Throw,  the caster will instead take half of the damage that would have been dealt.",Deal an additional 1d12(+12) Force Damage per level,,,X,X,
Dispel Evil and Good,Abjuration,Bonus,Concentration,18 m,Dispel Evil and Good,Until Long Rest,"Apply a buff to yourself that causes Aberrations, Celestials, Elementals, Fey, Fiends and Undead to have Disadvantage when making Attack Rolls against you. You may also use your Bonus Action to cleanse a creature that is Charmed, Frightened or Possessed.",Select 1 additional target per level,X,,,X,
Dispel Magic,Divination,Bonus,Debuff,3 m,Silenced,3 Turns,Apply the Silenced condition to any nearby creatures that have Spell Slots.,Increases Area size by 3m per level,,,X,,X
Dissonant Whispers,Enchantment,Action,WIS Save,18 m,Frightened,1 Turn,"Deal 1d12(+4) Psychic Damage to a target creature, potentially Frightening them.",Deal an additional 1d12(+4) Psychic Damage per level,,,X,X,
Divine Favor,Transmutation,Bonus,Buff,18 m,Divine Favour,3 Turns,Enchant a weapon causing it to deal an additional 1d4 Radiant Damage.,Select 1 additional target per level,X,,,X,
Divine Strike,Evocation,Action,DEX Save,18 m,Radiating Orb,3 Turns,Deal 1d6(+4) Radiant Damage in a 3 m area and possibly afflict each target with 3 stacks of Radiant Orb.,Deal an additional 1d4(+4) Radiant Damage per level,X,,,X,
Dominate,Enchantment,Action,Concentration                   / WIS Save,18 m,Dominated,Until Long Rest,Apply the Dominated condition to a creature causing them to fight alongside you. Should the affected creature take damage from you or your allies they will break free from the condition. Dangerous and Fatal foes cannot be Dominated.,No additional benefits,,,X,X,
Earth Tremor,Transmutation,Action,DEX Save,3 m,Prone,1 Turn,Deal 1d12(+4) Bludgeoning Damage in a 3 m area around yourself. This also causes Difficult Terrain and possibly knocks affected creatures Prone. On a successful Saving Throw the target still takes half the damage.,Deal an additional 1d12(+4) Bludgeoning Damage per level,,X,,,X
Elemental Weapon,Transmutation,Bonus,Enchantment,18 m,Elemental Weapon,Until Long Rest,Enchant a weapon causing it to deal an additional 2 Elemental Damage. You may choose from any Element upon casting.,Select 1 additional target per level,,X,X,,
Enhance Ability,Transmutation,Bonus,Concentration,18 m,Enhance Ability,Until Long Rest,Apply a buff to a targeted creature giving them Advantage on Saving Throws of their chosen Ability. This buff also increases the chosen stat by 2.,Select 1 additional target per level,X,X,,,
Enhanced Leap,Transmutation,Bonus,Buff,3 m,Enhanced Leap,3 Turns,"Double the possible Jump distance of yourself and all allies within 3 m of you. While this buff is active, the Jump action will no longer cost a Bonus Action.",Increases Area size by 3m per level,,X,,,X
Enlarge/Reduce,Transmutation,Bonus,Buff/Debuff (CON Save),18 m,Enlarged/Reduces,3 Turns,Apply either a buff or debuff of your choosing to a targeted creature. You may choose to cause a creature to become Enlarged or Reduced.,Select 1 additional target per level,,,X,,X
Ensnaring Strike,Conjuration,Action,STR Save,Melee,Ensnared,3 Turns,Deal your Weapon Damage to a targeted creature and possible Ensnare them. This Spell may use either your Melee or Ranged Weapon.,Cause the Ensnared Condition to deal an additional 1d6(+4) Piercing Damage per level,,X,,X,
Ensnaring Trap,Abjuration,Bonus,DEX Save,18 m,Restrained,1 Turn,Place two traps on the ground. If a creature steps on one of the traps they are immediately Restrained.,Place 2 additional traps per level,,X,,X,
Entangle,Conjuration,Action,Concentration /            STR Save,18 m,Restrained,1 Turn,Create a 3 m surface of vines that can inflict the Entangled condition.,Increases Area size by 3m per level,,X,X,,
Enthrall,Enchantment,Bonus,Debuff,18 m,Enthralled,Until Long Rest,Apply a condition to target creature lowering their sight cone. This Spell may be cast while Silenced or Muted and will not break Stealth.,Select 1 additional target per level,,,X,,X
Erupting Earth,Transmutation,Action,CON Save,18 m,Mud,Permanent,"Deal 1d6(+4) Bludgeoning Damage in a 3 m area around you, leaving behind mud. On a successful Saving Throw, the target still takes half the damage. This Spell may be cast while Silenced or Muted.",Deal an additional 1d6(+4) Bludgeoning Damage per level,,X,X,,
Evard's Black Tentacles,Conjuration,Action,Concentration /            STR Save,18 m,Smothered,1 Turn,Create a 3 m area of black tentacles that count as Difficult Terrain and Smothers creatures within. ,Increases Area size by 3m per level,,,X,X,
Expeditious Retreat,Transmutation,Bonus,Buff,18 m,Dash & Disengage,3 Turns,Apply a buff that grants a creature the effects of Dash and Disengage.,Select 1 additional target per level,,,,X,X
Eyebite,Necromancy,Bonus,WIS Save,18 m,Sleeping,1 Turn,Attempt to apply a condition to a target creature causing them to fall asleep. ,Select 1 additional target per level,,,X,X,
Faerie Fire,Evocation,Bonus,DEX Save,18 m,Faerie Fire,3 Turns,Apply a debuff to all enemies in a chosen 3 m area that causes all Attack Rolls made against them to be made with Advantage. They are also unable to utilize their armours Damage Reduction.,Increases Area size by 3m per level,X,,X,,
False Life,Necromancy,Bonus,Buff,Self Only,False Life,"Until end of a Combat Encounter
",Increase your Maximum Hit Points by 4 until the end of your next combat encounter.,Increase your Maximum Hit Points by 4 per level,X,,,X,
Fit of Terror,Illusion,Action,WIS Save,3 m,Terrified,1 Turn,Attempt to force creatures in a 3 m cone in front of you into a fit of Terror.,Increases Area size by 3m per level,,,X,X,
Featherfall,Transmutation,Bonus,Buff,3 m,Feather Fall,3 Turns,Grant yourself and all allies within 3 m of you Immuinity to Fall Damage.,Increases Area size by 3m per level,X,,,,X
Feign Death,Necromancy,Bonus,WIS Save,3 m,Feigning Death,3 Turns,"Put all non-hostile/non-allied creatures within 3 m of the caster into a magical coma. They cannot act and have Resistance too all damage as well as status immunity to all forms of disease and poison. On a successful Saving Throw, the target instead takes 1d6(+4) Psychic Damage.",Deal an additional 1d6(+4) Psychic Damage per level,X,,X,,
Feline Bombardment,Conjuration,Bonus,Summon,Self Only,Feline Bombardment,Until Long Rest,Upon landing a kill blow summon a Blazing Bombadier. These cats are able to cast Blazing Bombardment which deals 1d12 Fire Damage in a 3 m area around them. These cats take 1d4 Fire Damage at the end of each of their turns. They also cast Blazing Bombardment upon death.,Increases the damage of Blazing Bombardment by 1d12 Fire Damage per level,,X,X,,
Find Familiar,Conjuration,Bonus,Summon,18 m,Multiple                     [See Ranger],Until Long Rest,Summon 2 fey spirits that take an animal form of your choosing.,Summon an additional 2 familiars per level,,X,,,X
Fireball,Evocation,Action,DEX Save,18 m,Burning,3 Turns,Deal 1d6+4 fire dmg in a large AOE and burn targets until Helped on failed save On Save: Half damage,Deal 1d6+4 dmg/level,,,X,,X
Fire Shield,Evocation,Bonus,Buff,Self Only,Fire Shield,3 Turns,You become resistant to Cold dmg and deal 1d6 fire dmg when someone attack you in melee range (even if they miss),Deal 1d6 dmg/level,,,X,X,
Flame Arrows,Transmutation,Bonus,Buff,Self Only,Flame Arrows,Until Long Rest,Create 6 flaming arrows. They deal +1d4 fire dmg per ranged attack. On short rest restoration.,Create +6 arrows/level,,X,,X,
Flaming Armament,Evocation,Bonus,Enchantment,18 m,Flaming Armament,3 Turns,"All weapons in a 3m radius around the caster deal +2 fire damage on hit. If dual wielding, affect both weapons. Spells and Cantrips that improves weapons can't stack with each others.",Deal +2 dmg/level,,,X,X,
Flaming Sphere,Conjuration,Bonus,Concentration /                            DEX Save,18 m,Flaming Sphere,Until Long Rest,Create a flaming sphere doing 1d6 fire dmg/round On Save: half damage,Deal 1d6 dmg/level,,X,X,,
Flesh to Stone,Transmutation,Action,CON Save,18 m,Flesh to Stone,6 Turns,"At the end of each turn, target make a save. After 6 turns, become petrified permanently. Your target has disadvantage on DEX save.",Reduce duration by 1 turn/level,,,X,X,
Fog Cloud,Conjuration,Bonus,Concentration,18 m,Blinded,Whilst on Surface,"Create a fog cloud, which blind and obscure creatures inside. 2m AOE.",Increase AOE by 2m/level,,X,,,X
Freedom of Movement,Abjuration,Bonus,Buff,18 m,Freedom of Movement,3 Turns,Snap an ally our of any stun. Target ignore difficult terrain and can't be paralysed or restrained,Select 1 additional target per level,,X,,,X
Frost Fingers,Evocation,Action,Attack Roll,Melee,None,None,"Deal 1d12+8 cold dmg (melee range) and if target is Wet, apply 3 stacks of Frostbite and roll an additional dice",Deal 1d12+8 dmg/level,,,,X,X
Frostflame Armaments,Evocation,Bonus,Buff /                                DEX Save,Self Only,Frostflame Armament,3 Turns,"When you deal a killing blow with a weapon, deal 1d12 fire dmg and 1d12 cold dmg to Enemies in a 3m AOE",Deal 1d12 cold and 1d12 fire dmg/level,X,,,X,
Globe of Resistance,Abjuration,Action,Buff,18 m,Globe of Resistance,1 Turn,Create a barrier. Everyone inside is Resistant to all damage,Increase duration by +1 turn/level,X,,,,X
Goodberry,Transmutation,Bonus,Potion,18 m,Goodberry,Until Long Rest,Create 4 berries in a target inventory. They heal for 1d12*prof each. Disappear after long rest,Select 1 additional target per level,X,X,,,
Grant Flight,Transmutation,Bonus,Buff,18 m,Flight,3 Turns,Target creature can fly,Select 1 additional target per level,,X,X,,
Grasping Vine,Conjuration,Bonus,Summon /                               STR Save,18 m,Grasping Vine,3 Turns,Summon a vine. It can dragg creatures toward itself,Summon +1 vine/level,,X,,X,
Grease,Conjuration,Bonus,Surface /                      DEX Save,18 m,Prone,1 Turn,Create a 2m AOE surface slowing creatures (no save) and knocking them prone on failed save,Increase AOE by 2m/level,,,X,,X
Great Cleanse,Abjuration,Bonus,Dispel,18 m,None,None,"Cure Charm, Petrification, Polymorph or Curse (18m range) on target",Select 1 additional target per level,X,X,,,
Greater Escape,Illusion,Bonus,Buff,18 m,Greater Escape,1 Turn,Target creature will be ignored by enemies for 1 turn. Cannot be cast on the same creature for 3 turns afterwards.,Select 1 additional target per level,,,,X,X
Guardian of Faith,Conjuration,Bonus,Summon,18 m,Guardian of Faith,3 Turns,"Create an immobile guardian with 50 HP. Every time it attacks, it loses the same amount of HP (12 per hit).",Increase Guardian attack range by 3m/level,X,,,X,
Guiding Bolt,Evocation,Action,Attack Roll, 18 m,None,None,"Deal 1d12+4 radiant damage on target , 18m range. Deal double damage to fey, fiends and undeads",Deal 1d12+4 dmg/level,X,,,X,
Guiding Ceremony,Divination,Bonus,Concentration,9 m,Guiding Ceremony,Until Long Rest,All allies in a 9m AOE have +1d4 to all ability checks,Increase dice size,X,X,,,
Gust of Wind,Evocation,Bonus,STR Save,9m,Prone,1 Turn,"Clear all clouds and push back all targets around you 3m, inflicting Prone with no save",Increase pushback by 3m/level,,X,,,X
Hail of Thorns,Conjuration,Action,Attack Roll /                           DEX Save,18 m,None,None,Deal weapon dmg +1d6+4 piercing dmg to all creatures within 3m of the target,Deal 1d6+4 dmg/level,,X,,X,
Harm,Necromancy,Action,CON Save,18 m,None,None,1d12 +4 dmg 18m range On Save: half damage. Heal Undead creatures,Extra ray/level,X,X,,,
Haste,Transmutation,Bonus,Buff,18 m,Hastened,3 Turns,Target creature become hastened. Hastened actions generate Exhaustion. Exhaustion is also generated by damage and passively at start of each turn. All attack rolls are rolled advantage againts Exhausted target. At ten stack of exhaustion target immediately fall unconscious.,Select 1 additional target per level,X,X,,,
Healing Glyph,Evocation,Bonus,Concentration,Melee,Healing Glyph,Until Long Rest,Heal 1d20+4 on target when concentration is broken,Heal 1d20+4/level,X,X,,,
Healing Spirit,Conjuration,Bonus,Concentration,18 m,Healing Spirit,Until Long Rest,Summon a familiar. It can heal an ally for 1d12 once/turn,Heal 1d12/level,X,X,,,
Healing Word,Evocation,Bonus,Heal,18 m,None,None,"Heal 1d6+4, 18m range",Heal 1d6+4/level,X,X,,,
Heat Metal,Transmutation,Action,CON Save,18 m,None,None,"Deal 1d6+4 fire dmg on target, 18m range. Deal +1d6+4 dmg for each piece of metal equipment",Deal 1d6+4 dmg/level,,,X,X,
Hellish Rebuke,Evocation,Reaction,DEX Save,9 m?,None,None,"Deal 1D12+4 fire dmg, reaction on attack",Deal 1d12+4 dmg/level,X,,,X,
Heroes' Feast,Conjuration,Bonus,Camp Supplies,18 m,Feast Supplies,Until Long Rest,Summon some camp supplies,No additional benefits,X,X,,,
Heroism,Enchantment,Bonus,Buff,18 m,Heroism,3 Turns,Target creature gain 4 temporary HP each turn and can't be Frightened,Gain +4 HP/level,X,,,X,
Hex,Enchantment,Bonus,Debuff,18 m,Hex,3 Turns,Target creature has Disadvantage on Saving Throws for an ability of your choosing,Select 1 additional target per level,X,,,X,
Hold Creature,Enchantment,Action,WIS Save,18 m,Hold Creature,1 Turn,Target creature can't act on failed save. Attacks made against them within 3m will always be critical hit. Target breaks free after 1 attack.,Select 1 additional target per level,X,,X,,
Hunger of Hadar,Conjuration,Action,Concentration /                   DEX Save,18 m,Hunger of Hadar,Until Long Rest,"Create a large AOE blinding creatures inside. They take 1d6 cold damage on failed save when they start their turn inside, they take 1d6 acid damage on failed save when ending their turn inside",Deal 1d6 cold and 1d6 acid/level,,,,X,X
Hunter's Mark,Divination,Bonus,Debuff,18 m,Hunter's Mark,3 Turns,"When damaging the target with your weapon, roll your damage dice with advantage",Select 1 additional target per level,,X,,X,
Hypnotic Pattern,Illusion,Action,Concentration /                    WIS Save,18 m,Hypnotised,Until Long Rest,Target creature can't move or notice your presence on failed save,Select 1 additional target per level,,,X,,X
Ice Knife,Conjuration,Action,Attack Roll /                           DEX Save,18 m,None,None,Deal 1d12+4 cold damage.On hit another projectile will spawn from target which seeks out another enemy within 9m. Splinter will do 5-10 cold damage. On Save: half damage,Deal 1d12+4 dmg(splinter 1d6+4)/level,,,X,,X
Ice Storm,Evocation,Action,Conjuration /                      DEX Save,18 m,None,None,"Deal 1d6+4 cold damage in a 3m AOE. Create an icy surface and apply 3 turns of Frigid. On Save: half damage. Every subsequent turn while you maintain concentration, you can recast the spell as a free action.",Deal 1d6+4 dmg/level,,,,X,X
Inflict Wounds,Necromancy,Action,Attack Roll,Melee,Crippled,1 Turn,Deal 1d12+4 poison damage on hit (melee range) and Cripple target (no save),Deal 1d12+4 dmg/level,X,,,X,
Internal Fortress,Abjuration,Bonus,Buff,18 m,Internal Fortress,Until the end of your next combat encounter,Target creature gain 1 Physical Damage Reduction,Gain +1 DR/level and select +1 target/level,,,X,,X
Insect Plague,Conjuration,Action,CON Save,18 m,Bleeding /             Gaping Wounds,1 Turn,Cover a 9 m area in Locusts that will attack all within it's domain. Creatures who enter may receive the conditions Bleeding and/or Gaping Wounds depending on their CON Save.,No additional benefits,,X,,X,
Invisibility,Illusion,Bonus,Concentration,18 m,Invisible,Until Long Rest,Target become Invisible,Select 1 additional target per level,,,X,,X
Kinetic Permeation,Transmutation,Bonus,Buff,3 m,Permeable,Until Long Rest,All creatures in a 3m AOE become Permeable (can be moved through),Increase AOE by 3m/level,,,X,,X
Knock,Transmutation,Bonus,Lockpick,18 m,None,None,Unlock an object,Select 1 additional target per level,,,X,,X
Latent Restoration,Abjuration,Bonus,Dispel,18 m,None,None,"Cure a creature from any disease, poison, paralysis, intoxication or blindness",Select 1 additional target per level,X,X,,,
