,All damage dealing Cantrips gain an additional damage die at level 5 and 9,,,,,,
Minor Illusion,Illusion,Bonus,Skill Check,18 m,Distracted,1 Turn,"Create an illusion to distract nearby creatures, causing the next Attack Roll made against them to be rolled with Advantage. Should all affected creatures fail their Investigation Skill Check they will become Critically Distracted instead, causing all  Attack Rolls to be made with advantage until the end of their turn. This Cantrip may be cast while Silenced or Muted and will not break Stealth."
Mud Mantle,Transmutation,Bonus,Buff,Self Only,Mud Mantle,3 Turns,Gain Resistance to the next instance of elemental damage you would take and you cannot Burn. Condition removed upon taking damage. This Cantrip may be cast while Silenced or Muted.
Poison Spray,Necromancy,Action,Attack Roll w/ CON Save,18 m,Poisoned,1 Turn,Deal 1d8 Poison Damage to target creature. Additional damage will occur to any Poisoned enemies.
Prestidigitation,Illusion,Bonus,Buff,Self Only,Prestidigation,3 Turns,The next Attack Roll made against the affected creature will be made with Disadvantage.
Primal Savagery,Transmutation,Action,Attack Roll w/ CON Save,Melee,Poisoned,1 Turn,Deal 1d12 Poison Damage and potentially poison your target. This Cantrip may be cast while Silenced or Muted.
Produce Flame,Conjuration,Bonus,CON Save,18 m,Eternal Flames,Permanent,"Create a holy flame in your hand that lights the surrounding area in a 9 m radius. This flame may be hurled at a target to inflict them with Eternal Flames, causing them to take 1d12 Radiant Damage at the start of their turns permanently. You may hurl the flame as a ▢ Free Action on the same turn it was produced."
Ray of Frost,Evocation,Action,Attack Roll,18 m,Ray of Frost,1 Turn,"Deal 1d8 Cold Damage to a target, inflicting them with a condition that halves their movement speed."
Resistance,Abjuration,Bonus ,Buff,18 m,Resistance,Permanent,Grant affected creature a bonus 1d4 to Saving Throws. May only affect one target at a time.
Sacred Flame,Evocation,Action,Attack Roll,18 m,None,None,"Deal 1d8 Radiant Damage to a target. Deals double damage to Aberrations, Fey, Fiends and Undead."
Shocking Grasp,Evocation,Action,Attack Roll,Melee,Shocking Grasp,1 Turn,"Deal 1d12 Lightning Damage to a target, inflicting them with a condition that disallows them from using Reactions. This Spell has Advantage on Attack Rolls on creatures with metal armour."
Spare the Dying,Necromancy,Bonus,Heal,18 m,None,None,Heal 1d8 Hit Points to allies from a distance. Cannot target self.
Spark Surge,Evocation,Action,Attack Roll w/ DEX Save,18 m,Shocked,1 Turn,"Deal 1d8 Lightning Damage to a target, potentially Shocking them. This causes them to be unable to use Reactions and have Disadvantage on Dexterity based Ability Checks and Saving Throws."
Spellbound Empowerment,Transmutation,Bonus,Buff,Self Only,Spellbound Empowerment,Permanent,Your melee or ranged weapon(s) use your Spellcasting Ability for Attack and Damage Rolls. This effect persists so long as you can cast the Cantrip.
Titan's Boon,Transmutation,Bonus,Concentration Buff,Self Only,Titan's Boon,Permanent,"Enlarge yourself, improving the majority of your physical capabilities and causing you to deal an additional 1d4 Damage with all Melee Weapon and Unarmed attacks."
Thorn Whip,Transmutation,Action,Attack roll w/ STR Save,18 m,None,None,Deal 1d8 Piercing Damage and potentially pull a creature 9 m closer to you. Cannot pull targets if their size is classified as Huge.
Thunderclap,Thunderclap,Action,CON Save,3 m,Reverberation,1 Turn,"Deal 1d12 Thunder Damage in an area around you. On Save, targets still take half the damage."
Thunderous Strike,Evocation,Action,Attack roll,Melee,Thunder Struck,1 Turn,Deal 1d8 Thunder Damage alongside your weapon damage and inflict a condition that causes the target to take an additional 1d8 Thunder Damage if they move. This Cantrip may be cast while Silenced or Muted.
Toll the Dead,Necromancy,Action,WIS Save,18 m,None,None,"Deal 1d8 Necrotic Damage to a target. If the target is below half of their total Hit Points this Cantrip deals double damage. On Save, the target still takes half the damage."
Torrent,Transmutation,Bonus,Debuff,18 m,Wet,3 Turns,Target a creature and cause them to become Wet. This Cantrip may be cast while Silenced or Muted and will not break Stealth.
True Strike,Divination,Bonus,Buff,18 m,True Strike,1 Turn,Target yourself or an allied creature to give them a condition that allows them to ignore Resistances to all damage types when dealing damage to an enemy or item. This includes Damage Reduction granted by your targets armour. This Cantrip may be cast while Silenced or Muted and will not break Stealth.
Vicious Mockery,Enchantment,Bonus,WIS Save,18 m,Vicious Mockery,1 Turn,Target an enemy to potentially cause their Attack Rolls to be made with Disadvantage until the end of their turn.
Warpstone,Transmutation,Bonus,Movement,9 m,None,None,"While not Threatened, throw a magical stone, immediately warping to it's location. This Cantrip may be cast while Silenced or Muted and will not break Stealth."
Word of Radiance,Evocation,Action,CON Save,3 m,None,None,"Deal 1d12 Radiant Damage in an area around you. Deals double damage to Aberrations, Fey, Fiends and Undead. On save, targets still take half the damage."
